"451 - PT ind. de la construcción";"451 - PT ind. de la construcción";
"2023/Dec";1816215;
"2023/Nov";1929454;
"2023/Oct";1930279;
"2023/Sep";1892773;
"2023/Aug";1882750;
"2023/Jul";1844064;
"2023/Jun";1825366;
"2023/May";1800953;
"2023/Apr";1771707;
"2023/Mar";1762109;
"2023/Feb";1745979;
"2023/Jan";1719840;
"2023";1719840;
